Designator,Mid X,Mid Y,Rotation,Layer
R66,184.825,-73.0,0.0,top
R67,181.475,-79.0,180.0,top
R68,181.464808,-77.0,180.0,top
R69,181.475,-75.0,180.0,top
R7,199.3,-88.6,180.0,top
R70,181.5,-73.0,180.0,top
R71,184.825,-71.0,0.0,top
R72,184.75,-69.0,0.0,top
R73,184.75,-67.0,0.0,top
R74,184.75,-64.98,0.0,top
R75,181.5,-70.99,180.0,top
R76,181.425,-69.0,180.0,top
R77,181.425,-67.01,180.0,top
R78,181.425,-65.0,180.0,top
R79,200.4,-51.1,90.0,top
R8,199.3,-90.075,180.0,top
R80,195.1,-51.1,90.0,top
R81,198.7,-51.1,270.0,top
R82,196.9,-51.1,90.0,top
R83,183.5,-81.25,0.0,top
R84,208.5,-62.25,180.0,top
R85,209.5,-49.6,270.0,top
R86,135.45,-54.45,270.0,top
R87,185.3,-93.4,180.0,top
R88,145.75,-69.0,0.0,top
R89,165.75,-56.0,0.0,top
R9,159.925,-96.4,0.0,top
R90,168.0,-54.25,0.0,top
R91,179.4,-52.0,0.0,top
R92,182.6,-52.0,0.0,top
R93,193.8,-58.1,270.0,top
R94,193.8,-61.975,90.0,top
R95,159.925,-106.125,0.0,top
R96,170.3,-87.1,180.0,top
R97,167.1,-87.1,0.0,top
R98,160.05,-108.525,0.0,top
R99,149.0,-70.7,0.0,top
SW1,208.75,-68.15,90.0,top
SW2,208.75,-56.15,90.0,top
U1,164.75,-66.75,0.0,top
U10,139.695,-68.43,90.0,top
U11,199.175,-102.8,270.0,top
U2,137.5,-77.3575,270.0,top
U3,155.2,-45.0,90.0,top
U4,145.0,-77.3575,270.0,top
U5,192.25,-79.0,180.0,top
U6,192.25,-69.02,180.0,top
U7,182.525,-84.845,270.0,top
U8,142.025,-46.875,90.0,top
U9,204.4625,-50.2,0.0,top
Y1,165.65,-81.94,0.0,top
Y2,159.75,-79.0,0.0,top
